time,X,Y,Theta
0.0,0.24,0.72,0.0
0.0,0.24,0.76,0.0
0.0,0.24,0.8,0.0
0.0,0.24,0.84,0.0
0.0,0.24,0.88,0.0
0.0,0.24,0.92,0.0
0.0,0.24,0.96,0.0
0.0,0.24,1.0,0.0
0.0,0.28,0.0,0.0
0.0,0.28,0.04,0.0
0.0,0.28,0.08,0.0
0.0,0.28,0.12,0.0
0.0,0.28,0.16,0.0
0.0,0.28,0.2,0.0
0.0,0.28,0.24,0.0
0.0,0.28,0.28,0.0
0.0,0.28,0.32,0.0
0.0,0.28,0.36,0.0
0.0,0.28,0.4,0.0
0.0,0.28,0.44,0.0
0.0,0.28,0.48,0.0
0.0,0.28,0.52,0.0
0.0,0.28,0.56,0.0
0.0,0.28,0.6,0.0
0.0,0.28,0.64,0.0
0.0,0.28,0.68,0.0
0.0,0.28,0.72,0.0
0.0,0.28,0.76,0.0
0.0,0.28,0.8,0.0
0.0,0.28,0.84,0.0
0.0,0.28,0.88,0.0
0.0,0.28,0.92,0.0
0.0,0.28,0.96,0.0
0.0,0.28,1.0,0.0
0.0,0.32,0.0,0.0
0.0,0.32,0.04,0.0
0.0,0.32,0.08,0.0
0.0,0.32,0.12,0.0
0.0,0.32,0.16,0.0
0.0,0.32,0.2,0.0
0.0,0.32,0.24,0.0
0.0,0.32,0.28,0.0
0.0,0.32,0.32,0.0
0.0,0.32,0.36,0.0
0.0,0.32,0.4,0.0
0.0,0.32,0.44,0.0
0.0,0.32,0.48,0.0
0.0,0.32,0.52,0.0
0.0,0.32,0.56,0.0
0.0,0.32,0.6,0.0
0.0,0.32,0.64,0.0
0.0,0.32,0.68,0.0
0.0,0.32,0.72,0.0
0.0,0.32,0.76,0.0
0.0,0.32,0.8,0.0
0.0,0.32,0.84,0.0
0.0,0.32,0.88,0.0
0.0,0.32,0.92,0.0
0.0,0.32,0.96,0.0
0.0,0.32,1.0,0.0
0.0,0.36,0.0,0.0
0.0,0.36,0.04,0.0
0.0,0.36,0.08,0.0
0.0,0.36,0.12,0.0
0.0,0.36,0.16,0.0
0.0,0.36,0.2,0.0
0.0,0.36,0.24,0.0
0.0,0.36,0.28,0.0
0.0,0.36,0.32,0.0
0.0,0.36,0.36,0.0
0.0,0.36,0.4,0.0
0.0,0.36,0.44,0.0
0.0,0.36,0.48,0.0
0.0,0.36,0.52,0.0
0.0,0.36,0.56,0.0
0.0,0.36,0.6,0.0
0.0,0.36,0.64,0.0
0.0,0.36,0.68,0.0
0.0,0.36,0.72,0.0
0.0,0.36,0.76,0.0
0.0,0.36,0.8,0.0
0.0,0.36,0.84,0.0
0.0,0.36,0.88,0.0
0.0,0.36,0.92,0.0
0.0,0.36,0.96,0.0
0.0,0.36,1.0,0.0
0.0,0.4,0.0,0.0
0.0,0.4,0.04,0.0
0.0,0.4,0.08,0.0
0.0,0.4,0.12,0.0
0.0,0.4,0.16,0.0
0.0,0.4,0.2,0.0
0.0,0.4,0.24,0.0
0.0,0.4,0.28,0.0
0.0,0.4,0.32,0.0
0.0,0.4,0.36,0.0
0.0,0.4,0.4,0.0
0.0,0.4,0.44,0.0
0.0,0.4,0.48,0.0
0.0,0.4,0.52,0.0
0.0,0.4,0.56,0.0
0.0,0.4,0.6,0.0
0.0,0.4,0.64,0.0
0.0,0.4,0.68,0.0
0.0,0.4,0.72,0.0
0.0,0.4,0.76,0.0
0.0,0.4,0.8,0.0
0.0,0.4,0.84,0.0
0.0,0.4,0.88,0.0
0.0,0.4,0.92,0.0
0.0,0.4,0.96,0.0
0.0,0.4,1.0,0.0
0.0,0.44,0.0,0.0
0.0,0.44,0.04,0.0
0.0,0.44,0.08,0.0
0.0,0.44,0.12,0.0
0.0,0.44,0.16,0.0
0.0,0.44,0.2,0.0
0.0,0.44,0.24,0.0
0.0,0.44,0.28,0.0
0.0,0.44,0.32,0.0
0.0,0.44,0.36,0.0
0.0,0.44,0.4,0.0
0.0,0.44,0.44,0.0
0.0,0.44,0.48,0.0
0.0,0.44,0.52,0.0
0.0,0.44,0.56,0.0
0.0,0.44,0.6,0.0
0.0,0.44,0.64,0.0
0.0,0.44,0.68,0.0
0.0,0.44,0.72,0.0
0.0,0.44,0.76,0.0
0.0,0.44,0.8,0.0
0.0,0.44,0.84,0.0
0.0,0.44,0.88,0.0
0.0,0.44,0.92,0.0
0.0,0.44,0.96,0.0
0.0,0.44,1.0,0.0
0.0,0.48,0.0,0.0
0.0,0.48,0.04,0.0
0.0,0.48,0.08,0.0
0.0,0.48,0.12,0.0
0.0,0.48,0.16,0.0
0.0,0.48,0.2,0.0
0.0,0.48,0.24,0.0
0.0,0.48,0.28,0.0
0.0,0.48,0.32,0.0
0.0,0.48,0.36,0.0
0.0,0.48,0.4,0.0
0.0,0.48,0.44,0.0
0.0,0.48,0.48,0.0
0.0,0.48,0.52,0.0
0.0,0.48,0.56,0.0
0.0,0.48,0.6,0.0
0.0,0.48,0.64,0.0
0.0,0.48,0.68,0.0
0.0,0.48,0.72,0.0
0.0,0.48,0.76,0.0
0.0,0.48,0.8,0.0
0.0,0.48,0.84,0.0
0.0,0.48,0.88,0.0
0.0,0.48,0.92,0.0
0.0,0.48,0.96,0.0
0.0,0.48,1.0,0.0
0.0,0.52,0.0,0.0
0.0,0.52,0.04,0.0
0.0,0.52,0.08,0.0
0.0,0.52,0.12,0.0
0.0,0.52,0.16,0.0
0.0,0.52,0.2,0.0
0.0,0.52,0.24,0.0
0.0,0.52,0.28,0.0
0.0,0.52,0.32,0.0
0.0,0.52,0.36,0.0
0.0,0.52,0.4,0.0
0.0,0.52,0.44,0.0
0.0,0.52,0.48,0.0
0.0,0.52,0.52,0.0
0.0,0.52,0.56,0.0
0.0,0.52,0.6,0.0
0.0,0.52,0.64,0.0
0.0,0.52,0.68,0.0
0.0,0.52,0.72,0.0
0.0,0.52,0.76,0.0
0.0,0.52,0.8,0.0
0.0,0.52,0.84,0.0
0.0,0.52,0.88,0.0
0.0,0.52,0.92,0.0
0.0,0.52,0.96,0.0
0.0,0.52,1.0,0.0
0.0,0.56,0.0,0.0
0.0,0.56,0.04,0.0
0.0,0.56,0.08,0.0
0.0,0.56,0.12,0.0
0.0,0.56,0.16,0.0
0.0,0.56,0.2,0.0
0.0,0.56,0.24,0.0
0.0,0.56,0.28,0.0
0.0,0.56,0.32,0.0
0.0,0.56,0.36,0.0
0.0,0.56,0.4,0.0
0.0,0.56,0.44,0.0
0.0,0.56,0.48,0.0
0.0,0.56,0.52,0.0
0.0,0.56,0.56,0.0
0.0,0.56,0.6,0.0
0.0,0.56,0.64,0.0
0.0,0.56,0.68,0.0
0.0,0.56,0.72,0.0
0.0,0.56,0.76,0.0
0.0,0.56,0.8,0.0
0.0,0.56,0.84,0.0
0.0,0.56,0.88,0.0
0.0,0.56,0.92,0.0
0.0,0.56,0.96,0.0
0.0,0.56,1.0,0.0
0.0,0.6,0.0,0.0
0.0,0.6,0.04,0.0
0.0,0.6,0.08,0.0
0.0,0.6,0.12,0.0
0.0,0.6,0.16,0.0
0.0,0.6,0.2,0.0
0.0,0.6,0.24,0.0
0.0,0.6,0.28,0.0
0.0,0.6,0.32,0.0
0.0,0.6,0.36,0.0
0.0,0.6,0.4,0.0
0.0,0.6,0.44,0.0
0.0,0.6,0.48,0.0
0.0,0.6,0.52,0.0
0.0,0.6,0.56,0.0
0.0,0.6,0.6,0.0
0.0,0.6,0.64,0.0
0.0,0.6,0.68,0.0
0.0,0.6,0.72,0.0
0.0,0.6,0.76,0.0
0.0,0.6,0.8,0.0
0.0,0.6,0.84,0.0
0.0,0.6,0.88,0.0
0.0,0.6,0.92,0.0
0.0,0.6,0.96,0.0
0.0,0.6,1.0,0.0
0.0,0.64,0.0,0.0
0.0,0.64,0.04,0.0
0.0,0.64,0.08,0.0
0.0,0.64,0.12,0.0
0.0,0.64,0.16,0.0
0.0,0.64,0.2,0.0
0.0,0.64,0.24,0.0
0.0,0.64,0.28,0.0
0.0,0.64,0.32,0.0
0.0,0.64,0.36,0.0
0.0,0.64,0.4,0.0
0.0,0.64,0.44,0.0
0.0,0.64,0.48,0.0
0.0,0.64,0.52,0.0
0.0,0.64,0.56,0.0
0.0,0.64,0.6,0.0
0.0,0.64,0.64,0.0
0.0,0.64,0.68,0.0
0.0,0.64,0.72,0.0
0.0,0.64,0.76,0.0
0.0,0.64,0.8,0.0
0.0,0.64,0.84,0.0
0.0,0.64,0.88,0.0
0.0,0.64,0.92,0.0
0.0,0.64,0.96,0.0
0.0,0.64,1.0,0.0
0.0,0.68,0.0,0.0
0.0,0.68,0.04,0.0
0.0,0.68,0.08,0.0
0.0,0.68,0.12,0.0
0.0,0.68,0.16,0.0
0.0,0.68,0.2,0.0
0.0,0.68,0.24,0.0
0.0,0.68,0.28,0.0
0.0,0.68,0.32,0.0
0.0,0.68,0.36,0.0
0.0,0.68,0.4,0.0
