time,mean_absolute_error,max_absolute_error,l2_error,n_points
0.0,0.05746788587902366,0.14726664,1.7774120695958477,676
0.25,0.060245691337490484,0.1821248048146898,1.9312787238257074,676
0.5,0.0769528923297447,0.2543303639708936,2.505285036245225,676
0.75,0.1140085149659108,0.3859954605517519,3.7811196646019183,676
1.0,0.16181578932248336,0.5237891168696112,5.398500898463718,676
